Baseline
batch,cycles,flops,bytes_read,bytes_written
16,1076802.47,754944,67584,65536
32,2106051.08,1509888,133120,131072
64,4216412.93,3019776,264192,262144
128,8513374.92,6039552,526336,524288
256,17459615.96,12079104,1050624,1048576
512,35004241.92,24158208,2099200,2097152
1024,70933619.41,48316416,4196352,4194304
2048,141625066.83,96632832,8390656,8388608
4096,284779238.13,193265664,16779264,16777216
8192,577971740.11,386531328,33556480,33554432
16384,1166027464.75,773062656,67110912,67108864
32768,2336883604.73,1546125312,134219776,134217728
65536,4686052753.46,3092250624,268437504,268435456

mean_cov_max opt
batch,cycles,flops,bytes_read,bytes_written
16,667565.74,755008,67584,65536
32,1373315.63,1510016,133120,131072
64,2795922.12,3020032,264192,262144
128,5619826.92,6040064,526336,524288
256,11482956.18,12080128,1050624,1048576
512,23471112.29,24160256,2099200,2097152
1024,46460445.90,48320512,4196352,4194304
2048,90291456.70,96641024,8390656,8388608
4096,180196516.37,193282048,16779264,16777216
8192,366100277.27,386564096,33556480,33554432
16384,748528795.23,773128192,67110912,67108864
32768,1498500417.11,1546256384,134219776,134217728
65536,2998559305.12,3092512768,268437504,268435456

decomp_backsub opt
batch,cycles,flops,bytes_read,bytes_written
16,196530.37,787264,67584,65536
32,393824.35,1574528,133120,131072
64,879409.50,3149056,264192,262144
128,1790231.52,6298112,526336,524288
256,3739380.86,12596224,1050624,1048576
512,7969656.83,25192448,2099200,2097152
1024,17478593.83,50384896,4196352,4194304
2048,35752073.31,100769792,8390656,8388608
4096,71430154.94,201539584,16779264,16777216
8192,151764124.87,403079168,33556480,33554432
16384,307902135.24,806158336,67110912,67108864
32768,631990860.11,1612316672,134219776,134217728
65536,1249542817.20,3224633344,268437504,268435456

scaling opt
batch,cycles,flops,bytes_read,bytes_written
16,126175.70,820032,67584,65536
32,263908.47,1640064,133120,131072
64,522169.29,3280128,264192,262144
128,1098697.94,6560256,526336,524288
256,2359753.02,13120512,1050624,1048576
512,4995070.86,26241024,2099200,2097152
1024,10423218.58,52482048,4196352,4194304
2048,21716473.37,104964096,8390656,8388608
4096,43602156.73,209928192,16779264,16777216
8192,85534322.62,419856384,33556480,33554432
16384,172084770.16,839712768,67110912,67108864
32768,345535386.35,1679425536,134219776,134217728
65536,681721901.94,3358851072,268437504,268435456

cache opt
batch,cycles,flops,bytes_read,bytes_written
16,111352.56,820032,67584,65536
32,227490.89,1640064,133120,131072
64,442432.22,3280128,264192,262144
128,915104.29,6560256,526336,524288
256,1882830.70,13120512,1050624,1048576
512,3912822.67,26241024,2099200,2097152
1024,7949342.20,52482048,4196352,4194304
2048,16331369.92,104964096,8390656,8388608
4096,32449205.83,209928192,16779264,16777216
8192,64209179.17,419856384,33556480,33554432
16384,126234324.84,839712768,67110912,67108864
32768,246325209.59,1679425536,134219776,134217728
65536,502690759.62,3358851072,268437504,268435456

