
Baseline
batch,cycles,flops,bytes_read,bytes_written
16,157708.57,132096,6400,4096
32,292203.91,264192,10496,8192
64,589350.49,528384,18688,16384
128,1246482.59,1056768,35072,32768
256,2390706.11,2113536,67840,65536
512,4955108.21,4227072,133376,131072
1024,9890334.67,8454144,264448,262144
2048,20078330.24,16908288,526592,524288
4096,39104819.43,33816576,1050880,1048576
8192,75711308.79,67633152,2099456,2097152
16384,150150368.66,135266304,4196608,4194304
32768,291191467.28,270532608,8390912,8388608
65536,581880581.67,541065216,16779520,16777216

v1_FMA-Factored-G
batch,cycles,flops,bytes_read,bytes_written
16,174368.39,148480,6400,4096
32,350992.10,296960,10496,8192
64,719585.56,593920,18688,16384
128,1418458.42,1187840,35072,32768
256,2845915.45,2375680,67840,65536
512,5634080.31,4751360,133376,131072
1024,11329577.63,9502720,264448,262144
2048,22557284.93,19005440,526592,524288
4096,43612723.80,38010880,1050880,1048576
8192,84332440.39,76021760,2099456,2097152
16384,166000167.06,152043520,4196608,4194304
32768,329961069.35,304087040,8390912,8388608
65536,664107921.51,608174080,16779520,16777216

v2_K-Accum
batch,cycles,flops,bytes_read,bytes_written
16,208086.46,148480,6400,4096
32,426850.17,296960,10496,8192
64,839818.38,593920,18688,16384
128,1714105.43,1187840,35072,32768
256,3402720.67,2375680,67840,65536
512,6811097.72,4751360,133376,131072
1024,13625188.00,9502720,264448,262144
2048,26745805.09,19005440,526592,524288
4096,51046013.03,38010880,1050880,1048576
8192,100860479.05,76021760,2099456,2097152
16384,200089749.15,152043520,4196608,4194304
32768,397206463.56,304087040,8390912,8388608
65536,803502919.43,608174080,16779520,16777216

v3_Inverse
batch,cycles,flops,bytes_read,bytes_written
16,97976.90,148480,6400,4096
32,207096.93,296960,10496,8192
64,399747.42,593920,18688,16384
128,794769.71,1187840,35072,32768
256,1631582.98,2375680,67840,65536
512,3230849.51,4751360,133376,131072
1024,6390818.97,9502720,264448,262144
2048,12876898.60,19005440,526592,524288
4096,25342854.27,38010880,1050880,1048576
8192,49644828.61,76021760,2099456,2097152
16384,95052793.74,152043520,4196608,4194304
32768,187392404.11,304087040,8390912,8388608
65536,375127707.59,608174080,16779520,16777216

v4_Explicit
batch,cycles,flops,bytes_read,bytes_written
16,107415.37,136704,6400,4096
32,216669.56,273408,10496,8192
64,430068.92,546816,18688,16384
128,869281.02,1093632,35072,32768
256,1736842.21,2187264,67840,65536
512,3465712.17,4374528,133376,131072
1024,7296849.31,8749056,264448,262144
2048,13594536.20,17498112,526592,524288
4096,27430387.46,34996224,1050880,1048576
8192,52553316.42,69992448,2099456,2097152
16384,102065405.47,139984896,4196608,4194304
32768,200508531.62,279969792,8390912,8388608
65536,401244221.10,559939584,16779520,16777216
