baseline
batch,cycles,flops,bytes_read,bytes_written
16,17462.81,5632,8560,8192
32,35297.10,11264,16752,16384
64,71675.23,22528,33136,32768
128,165244.41,45056,65904,65536
256,290533.37,90112,131440,131072
512,591292.03,180224,262512,262144
1024,1191794.18,360448,524656,524288
2048,2453081.28,720896,1048944,1048576
4096,4884778.88,1441792,2097520,2097152
8192,10085405.02,2883584,4194672,4194304
16384,20667738.15,5767168,8388976,8388608
32768,77783557.38,11534336,16777584,16777216
65536,158055535.14,23068672,33554800,33554432

Index Inv
batch,cycles,flops,bytes_read,bytes_written
16,8962.88,4608,8560,8192
32,18805.77,10240,16752,16384
64,36534.87,20480,33136,32768
128,67972.22,36864,65904,65536
256,140094.39,73728,131440,131072
512,275784.27,131072,262512,262144
1024,671228.86,294912,524656,524288
2048,1522740.69,655360,1048944,1048576
4096,3076700.97,1048576,2097520,2097152
8192,8445226.72,2097152,4194672,4194304
16384,19639769.29,4718592,8388976,8388608
32768,39704346.74,9437184,16777584,16777216
65536,78904279.57,18874368,33554800,33554432

Sigmoid Acc
batch,cycles,flops,bytes_read,bytes_written
16,5508.60,9984,8560,8192
32,11856.55,16896,16752,16384
64,22622.84,27648,33136,32768
128,49294.92,55296,65904,65536
256,109109.36,114688,131440,131072
512,226695.86,208896,262512,262144
1024,689805.68,446464,524656,524288
2048,1303053.32,823296,1048944,1048576
4096,2980933.78,1904640,2097520,2097152
8192,7098371.23,3280896,4194672,4194304
16384,18074852.19,7081984,8388976,8388608
32768,38459847.58,13111296,16777584,16777216
65536,63212429.46,24121344,33554800,33554432

Tiling
batch,cycles,flops,bytes_read,bytes_written
16,7129.89,10496,8560,8192
32,13502.66,16896,16752,16384
64,27367.39,29696,33136,32768
128,55177.81,55296,65904,65536
256,95793.48,98304,131440,131072
512,228907.80,208896,262512,262144
1024,441313.10,413696,524656,524288
2048,849791.77,757760,1048944,1048576
4096,2198653.59,1904640,2097520,2097152
8192,4669568.43,3805184,4194672,4194304
16384,8702442.74,7081984,8388976,8388608
32768,16058960.60,13111296,16777584,16777216
65536,32642652.42,26218496,33554800,33554432

Branchless
batch,cycles,flops,bytes_read,bytes_written
16,8289.40,11776,8560,8192
32,15819.05,19456,16752,16384
64,31197.00,34816,33136,32768
128,43248.70,53248,65904,65536
256,101093.39,110592,131440,131072
512,237117.14,233472,262512,262144
1024,470559.64,462848,524656,524288
2048,1001221.42,987136,1048944,1048576
4096,1934600.22,1839104,2097520,2097152
8192,4109697.07,3674112,4194672,4194304
16384,8374196.18,7344128,8388976,8388608
32768,15144360.63,12587008,16777584,16777216
65536,37089910.66,33558528,33554800,33554432

AVX
batch,cycles,flops,bytes_read,bytes_written
16,8389.15,13056,8560,8192
32,19053.94,23552,16752,16384
64,44593.45,49152,33136,32768
128,83383.48,88064,65904,65536
256,161097.81,172032,131440,131072
512,264584.07,290816,262512,262144
1024,534891.72,577536,524656,524288
2048,1115916.29,1150976,1048944,1048576
4096,2718892.59,2691072,2097520,2097152
8192,5123456.88,4984832,4194672,4194304
16384,9700881.29,9179136,8388976,8388608
32768,22770853.19,21499904,16777584,16777216
65536,41121073.54,39849984,33554800,33554432

